device_name,interface,ip_address,admin_status,line_status,snapshot_id,created_at
R2,ge-0/0/0,,Enabled,Up,2026-03-03_1940,
R2,gr-0/0/0,,Enabled,Up,2026-03-03_1940,
R2,ip-0/0/0,,Enabled,Up,2026-03-03_1940,
R2,lsq-0/0/0,,Enabled,Up,2026-03-03_1940,
R2,lt-0/0/0,,Enabled,Up,2026-03-03_1940,
R2,mt-0/0/0,,Enabled,Up,2026-03-03_1940,
R2,sp-0/0/0,,Enabled,Up,2026-03-03_1940,
R2,ge-0/0/1,,Enabled,Up,2026-03-03_1940,
R2,ge-0/0/2,,Enabled,Up,2026-03-03_1940,
R2,dsc,,Enabled,Up,2026-03-03_1940,
R2,em0,,Enabled,Up,2026-03-03_1940,
R2,em1,,Enabled,Up,2026-03-03_1940,
R2,em2,,Enabled,Down,2026-03-03_1940,
R2,fti0,,Enabled,Up,2026-03-03_1940,
R2,fxp0,,Enabled,Up,2026-03-03_1940,
R2,gre,,Enabled,Up,2026-03-03_1940,
R2,ipip,,Enabled,Up,2026-03-03_1940,
R2,irb,,Enabled,Up,2026-03-03_1940,
R2,lo0,,Enabled,Up,2026-03-03_1940,
R2,lsi,,Enabled,Up,2026-03-03_1940,
R2,mtun,,Enabled,Up,2026-03-03_1940,
R2,pimd,,Enabled,Up,2026-03-03_1940,
R2,pime,,Enabled,Up,2026-03-03_1940,
R2,pp0,,Enabled,Up,2026-03-03_1940,
R2,ppd0,,Enabled,Up,2026-03-03_1940,
R2,ppe0,,Enabled,Up,2026-03-03_1940,
R2,st0,,Enabled,Up,2026-03-03_1940,
R2,tap,,Enabled,Up,2026-03-03_1940,
R2,vlan,,Enabled,Down,2026-03-03_1940,
R2,vtep,,Enabled,Up,2026-03-03_1940,
R1,ge-0/0/0,,Enabled,Up,2026-03-03_1754,
R1,gr-0/0/0,,Enabled,Up,2026-03-03_1754,
R1,ip-0/0/0,,Enabled,Up,2026-03-03_1754,
R1,lsq-0/0/0,,Enabled,Up,2026-03-03_1754,
R1,lt-0/0/0,,Enabled,Up,2026-03-03_1754,
R1,mt-0/0/0,,Enabled,Up,2026-03-03_1754,
R1,sp-0/0/0,,Enabled,Up,2026-03-03_1754,
R1,ge-0/0/1,,Enabled,Up,2026-03-03_1754,
R1,ge-0/0/2,,Enabled,Up,2026-03-03_1754,
R1,dsc,,Enabled,Up,2026-03-03_1754,
R1,em0,,Enabled,Up,2026-03-03_1754,
R1,em1,,Enabled,Up,2026-03-03_1754,
R1,em2,,Enabled,Down,2026-03-03_1754,
R1,fti0,,Enabled,Up,2026-03-03_1754,
R1,fxp0,,Enabled,Up,2026-03-03_1754,
R1,gre,,Enabled,Up,2026-03-03_1754,
R1,ipip,,Enabled,Up,2026-03-03_1754,
R1,irb,,Enabled,Up,2026-03-03_1754,
R1,lo0,,Enabled,Up,2026-03-03_1754,
R1,lsi,,Enabled,Up,2026-03-03_1754,
R1,mtun,,Enabled,Up,2026-03-03_1754,
R1,pimd,,Enabled,Up,2026-03-03_1754,
R1,pime,,Enabled,Up,2026-03-03_1754,
R1,pp0,,Enabled,Up,2026-03-03_1754,
R1,ppd0,,Enabled,Up,2026-03-03_1754,
R1,ppe0,,Enabled,Up,2026-03-03_1754,
R1,st0,,Enabled,Up,2026-03-03_1754,
R1,tap,,Enabled,Up,2026-03-03_1754,
R1,vlan,,Enabled,Down,2026-03-03_1754,
R1,vtep,,Enabled,Up,2026-03-03_1754,
R1,ge-0/0/0,,Enabled,Up,2026-03-03_1940,
R1,gr-0/0/0,,Enabled,Up,2026-03-03_1940,
R1,ip-0/0/0,,Enabled,Up,2026-03-03_1940,
